URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?http://open.umich.edu/education/,Find U-M Open Educational Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/resources/python-opentextbook/winter2010,Python for Informatics: Exploring Information; an open textbook | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;informatics;open textbook;open textbooks;programming;python,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/mlibrary/thl,Taubman Health Sciences Library | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/chemistry216/spring2012,Chemistry 216 - The Synthesis and Characterization of Carbonyl Compounds | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;chemistry;chromatography;laboratory;organic chemistry;spectroscopy,education;opencourseware;ocw;,Chemistry 216 - The Synthesis and Characterization of Carbonyl Compounds,University of Michigan; Ann Arbor,Free, 1 hour lecture and 4 hour lab- twice a week,No, Ginger Shultz,CHEM 216 builds on the experimental approach started in CHEM 211. Students participate in planning exactly what they are going to do in the laboratory by being given general goals and directions that have to be adapted to fit the specific project they will be working on., Undergraduate,?
http://open.umich.edu/education/dent/dent718/winter2008,Advanced Topics in Removable Prosthodontics | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;clasp;combination;complete;dentistry;denture;dentures;fracture;overdenture;partial;post dam;prosthodontics;provisional;removable;removable partial denture;removable partial dentures;repair;rpd;stayplate;tooth supported overdenture;tooth-supported,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources/influenza-encyclopedia/2012,Influenza Encyclopedia: The American Influenza Epidemic of 1918-1919 | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;1918 flu epidemic;center for disease control;history of medicine;influenza,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/mlibrary/thl/global-health,Global Health | Open.Michigan,The Taubman Health Sciences Library s Global Health Program develops and implements a range  of efforts including programs; instruction; and services to contribute to the University s efforts in  global health.  The library provides leadership in identifying global information resources; cultivating  partnerships with he,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/engin/me/coursera-thermodynamics/summer2013,ME / Coursera - Introduction to Thermodynamics: Transferring Energy from Here to There | Open.Michigan,This course will provide you with an introduction to the most powerful engineering principles you will ever learn: thermodynamics! Or the science of transferring energy from one place or form to another place or form.  We will introduce the tools you need to analyze energy systems from solar panels; to engines; to insulated coffee mugs.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;chemical engineering;Coursera;energy;mechanical engineering;thermodynamics,education;opencourseware;ocw;,ME / Coursera - Introduction to Thermodynamics: Transferring Energy from Here to There,N/A,N/A, 8 weeks,N/A, Professor Margaret S. Wooldridge                      University of Michigan                      Arthur F. Thurnau Professor                      Departments of Mechanical and Aerospace Engineering,This course will provide you with an introduction to the most powerful engineering principles you will ever learn: thermodynamics! Or the science of transferring energy from one place or form to another place or form.  We will introduce the tools you need to analyze energy systems from solar panels; to engines; to insulated coffee mugs., Undergraduate,?
http://open.umich.edu/education/pharmacy,Pharmacy | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/si508/fall2008,SI 508 - Networks: Theory and Application | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;information networks;information retrieval;network analysis;network theory;social networks;software analysis,education;opencourseware;ocw;,SI 508 - Networks: Theory and Application,University of Michigan; Ann Arbor,Free, weekly 1.5 hour lectures augmented by weekly 1.5 hour lab sessions over 14 weeks,No, Lada Adamic; Ph.D.,SI 508 has been taught in various forms from 2006 to 2008 to master’s students at the University of Michigan School of Information. The course covers topics in network analysis; from social networks to applications in information networks such as the Internet.,N/A,?
http://open.umich.edu/education/med/mep/ebm/2006,Evidence-Based Medicine (EBM) Tutorial | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;Clinical Science;family medicine;medicine;Patient Care;Practice-based Learning and Improvement,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/mtd/coursera-classical-music/summer2013,Music / Coursera - Introduction to Classical Music | Open.Michigan,About the Course This course will focus on Western classical music of the eighteenth and nineteenth centuries; it is designed for people who are passionate about classical music but who have not necessarily had any advanced training or taken any college-level music courses.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;classical music;Coursera;Music;Western classical music,education;opencourseware;ocw;,Music / Coursera - Introduction to Classical Music,University of Michigan; Ann Arbor,Free, 8 weeks,No, Kevin Korsyn,About the Course This course will focus on Western classical music of the eighteenth and nineteenth centuries; it is designed for people who are passionate about classical music but who have not necessarily had any advanced training or taken any college-level music courses., Undergraduate,?
http://open.umich.edu/education/med/m1/patientspop-genetics/fall2008,Patients and Populations: Medical Genetics | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;captions;DNA;genetics;genomics;medicine;Open Educational Resource;RNA;videos,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/soe/educ403/winter2008,EDUC 403 - Individualized Reading Instruction in the Elementary Grades | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;composition;education;elementary education;elementary school instruction;fluency;individualized instruction;literacy education;literacy instruction;reading;reading assessment;reading comprehension;text-based discussion;vocabulary;writing instruction,education;opencourseware;ocw;,EDUC 403 - Individualized Reading Instruction in the Elementary Grades,University of Michigan; Ann Arbor,Free, 3 hour lecture and one discussion class weekly,No, Annemarie Sullivan Palinscar,This course explores techniques for assessment of reading and writing skills and for development of individualized instruction in classroom settings; develops strategies for meeting the needs of individual students through the evaluation; utilization; and adaptation of commercial reading materials and through the formation of principles and techniq, Undergraduate,?
http://open.umich.edu/education/si/si510/winter2010,SI 510 - Special Topics: Data Security and Privacy: Legal; Policy and Enterprise Issues | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;data security;information policy;privacy;security regulations,education;opencourseware;ocw;,SI 510 - Special Topics: Data Security and Privacy: Legal; Policy and Enterprise Issues,University of Michigan; Ann Arbor,Free, Three hour class - once a week,No, Don Blumenthal,As data collection and information networks expand (and stories of security breaches and the misuse of personal information abound); data security and privacy issues are increasingly central parts of the information policy landscape., Graduate,?
http://open.umich.edu/education/med/med-mep/efficient-use-ebm/2006,Fostering the Efficient; Effective Use of Evidence-Based Medicine in the Clinic | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;Continuing Medical Education;EBM;Evidence Based Medicine;Faculty;faculty development;Patient Care;Practice-based Learning and Improvement;Resident Education;Te4Q,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/sph,Public Health | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/engin/me/me599/winter2009,ME 599 - Nanomanufacturing | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;mechanical engineering;nanomanufacturing;nanostructures;nanotechnology,education;opencourseware;ocw;,ME 599 - Nanomanufacturing,University of Michigan; Ann Arbor,Free,N/A,No, John Hart,This course presents how to make and assemble nanostructures—particularly nanotubes; nanowires; and nanoparticles—into devices and materials ranging from transistors to films; fibers; and structural composites.,N/A,?
http://open.umich.edu/education/mlibrary/thl/outreach,Outreach | Open.Michigan,The mission of outreach for the Taubman Health Sciences Library is to promote the health of our community by way of improving access to high quality health information; with an emphasis on underserved communities and the elimination of health disparities.   dScribe: Katy Mahraj,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources/medical-education-collection-deep-blue/2012,Medical Education Collection from Deep Blue | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;education,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/dent/dental-materials/2008,Cariology; Restorative Sciences; and Endodontics (CRSE) Materials | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;alloys;amalgam;bonding systems;combination;complete;dental cement;dental ceramics;dental porcelain;dental waxes;dentistry;denture;denture alloys;dentures;glass ionomers;gold casting alloys;impression materials;impressions;operative dentistry;partial;prosthodontics;removable;removable partial dentures;rpd;waxing,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/chemistry538/winter2009,Chemistry 538 - Organic Chemistry of Macromolecules | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;chemistry;macromolecules;organic chemistry;polymeric materials;reactions;wikipedia,education;opencourseware;ocw;,Chemistry 538 - Organic Chemistry of Macromolecules,University of Michigan; Ann Arbor,Free,N/A,No, Anne McNeil,Organic Chemistry of Macromolecules covers the preparation; reactions; and properties of high molecular weight polymeric materials of both natural and synthetic origin. As a part of this course; U-M students collaboratively created and edited Wikipedia articles. Student contributions can be found within the Sessions tab., Graduate,?
http://open.umich.edu/education/med/resources/histology/2009,Medical Histology and Virtual Microscopy | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;digital microscopy;histology;histology collections;histology slides;medicine;virtual microscopy,education;opencourseware;ocw;,Medical Histology and Virtual Microscopy,University of Michigan; Ann Arbor,Free, Collection of histology slides and online digital microscopy tool.,No, Michael Hortsch; Ph.D.,The U-M Histology Collection includes a vast assortment of histology images. Students use a digital microscope tool to access the collection and learn the process of preparing and viewing tissues by light and electron microscopy.,N/A,?
http://open.umich.edu/education/nursing/resources,Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/engin/me/ghmdc/2012,Global Health Medical Device Compendium | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;design;engineering;global health;global initiatives;mechanical engineering;medical devices,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/mlibrary/thl/systematic-review,Systematic Review | Open.Michigan,The Taubman Health Sciences Library partners with members of the University of Michigan health sciences community to provide extensive literature search support for systematic review and clinical practice guideline projects.   dScribe: Katy Mahraj,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/fordschool,Public Policy | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/mep/gerd-adults/2007,Gastroesophageal Reflux Disease (GERD) in Adults | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;Internal Medicine;medicine;Patient Care,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/pharmacy/pharm476/winter2011,Pharm 476 - Principles of Research and Problem Solving | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;proposal writing;research methods;research proposals;study design,education;opencourseware;ocw;,Pharm 476 - Principles of Research and Problem Solving,University of Michigan; Ann Arbor,Free, 90 minute class; twice a week,No, Kathleen Stringer,This is an introductory course in research methods and proposal writing. The course is designed to give students experience in hypothesis and specific aims development and an overview of the use of the scientific study design for solving health-related problems., Graduate,?
http://open.umich.edu/education/med/m1/cellstissues/winter2009,Cells and Tissues | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;anatomy;biochemistry;cell biology;cells;developmental biology;histology;medicine;Open Educational Resource;tissues,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/mep/radiologic-pathologic-correlations-breast-imaging/2006,Interactive Computer Teaching Module for Radiologic-Pathologic Correlations in Breast Imaging | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;BI-RADS;breast cancer;Breast Imaging;Breast Neoplasms (MeSH);Diagnosis (MeSH);Diagnostic Imaging (MeSH);Mammogram;Mammography (MeSH);pathology;Radiologic-Pathologic Correlations;Radiology;Ultrasound,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/si/si521/winter2009,SI 521 - Special Topics: Open Educational Resources and the University of Michigan | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;open access;open content;open education resources;open pedagogy;open publishing;open textbook,education;opencourseware;ocw;,SI 521 - Special Topics: Open Educational Resources and the University of Michigan,University of Michigan; Ann Arbor,Free, Three hour class - once a week,No, Joseph Hardin,This course introduces students to the ideas and practices surrounding teaching; learning and research at a world class research university like the University of Michigan; and the emerging role in these practices of Open Educational Resources; including open content such as opencourseware; open access initiatives; open publishing of research and l, Graduate,?
http://open.umich.edu/education/rackham,Rackham | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/sph/resources,Resources | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/mlibrary/deep-blue,Deep Blue | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;archive;collection;open access,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/engin/eheld,Excellence in Higher Education for Liberian Development | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources/michigan-molecular-interactions/2013,Michigan Molecular Interactions (MiMI) | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;interactions;molecular;organism;protein,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/lsa/chemistry540/fall2008,Chemistry 540 - Physical Organic Chemistry | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;chemical bonding;mechanisms of organic chemical reactions;physical organic chemistry;stereochemistry,education;opencourseware;ocw;,Chemistry 540 - Physical Organic Chemistry,University of Michigan; Ann Arbor,Free,N/A,No, Anne McNeil,Physical Organic Chemistry covers the principles of chemical bonding; mechanisms of organic chemical reactions and stereochemistry. The important types of organic reactions are also discussed; with an emphasis on basic principles. As a part of this course; U-M students collaboratively created and edited Wikipedia articles., Graduate,?
http://open.umich.edu/education/dent/patient-comm-skills/2007,Patient Communication Skills | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;communication techniques;cross-cultural communication;interviewing patients;patient communication;patient interaction,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/nursing/resources/nursing-socr/2013,School of Nursing Statistics Online Computational Resource (SOCR) Citations and Licenses | Open.Michigan,The School of Nursing Statistics Online Computational Resource (SOCR) Citations and Licenses offers information about citing and acknowledging SOCR resources by referencing and/or linking to the appropriate data; tools; learning materials; instructional resources; papers; technical reports; events; and other materials.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;citation;license;nursing;SOCR;statistics,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/med/resources/nerve-whiz,Nerve Whiz | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;mobile app;muscle charts;nerve innervation charts;nerves;nervous system,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/mlibrary/digital-culture-books,Digital Culture Books | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;digital humanities;digital publishing;open publishing;scholarly publishing,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/sph/resources/sph-informatics-computing-services,SPH Informatics & Computing Services | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu;classroom services;computing services;informatics;information technology;public health,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://open.umich.edu/education/ssw,Social Work | Open.Michigan,Open initiatives supporting free and open educational resources from the University of Michigan.,open;oer;ocw;education resources;course;materials;courseware;open courseware;dscribe;curriculum;open source;knowledge;health;health sciences;medical;medicine learning;global community fair;use itunes;u;educommons;michigan;university of michigan;umich;open.michigan;open.umich.edu;open.umich;open.michigan.edu,education;opencourseware;ocw;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
