URL,TITLE,METADESCRIPTION,KEYWORDS,SOCIALTAGS,COURSENAME,PROVIDER,PRICE,DURATION,CERTIFICATE,INSTRUCTOR,DESCRIPTION,LEVEL,ISVALID?
http://ocw.mit.edu/courses/find-by-department/,Find Courses by Department | MIT OpenCourseWare | Free Online Course Materials,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-050j-information-and-entropy-spring-2008/,Information and Entropy | Electrical Engineering and Computer Science | MIT OpenCourseWare,This course explores the ultimate limits to communication and computation; with an emphasis on the physical nature of information and information processing. Topics include: information and computation; digital signals; codes and compression; applications such as biological representations of information; logic circuits; computer architectures; and algorithmic information; noise; probability; error correction; reversible and irreversible operations; physics of computation; and quantum computation. The concept of entropy applied to channel capacity and to the second law of thermodynamics.,information and entropy;computing;communications;thermodynamics;digital signals and streams;codes;compression;noise;probability;reversible operations;irreversible operations;information in biological systems;channel capacity;maximum-entropy formalism;thermodynamic equilibrium;temperature;second law of thermodynamics quantum computation;Theory of Computation;Signal Processing,education;learning;free;,Information and Entropy ,MIT Open CourseWare,N/A,any time,No,Penfield; Paul and Lloyd; Seth ,This course explores the ultimate limits to communication and computation; with an emphasis on the physical nature of information and information processing. Topics include: information and computation; digital signals; codes and compression; applications such as biological representations of information; logic circuits; computer architectures; and algorithmic information; noise; probability; error correction; reversible and irreversible operations; physics of computation; and quantum computation. The concept of entropy applied to channel capacity and to the second law of thermodynamics.,Undergraduate,?
http://ocw.mit.edu/courses/urban-studies-and-planning/11-309j-sensing-place-photography-as-inquiry-fall-2012/,Sensing Place: Photography as Inquiry | Urban Studies and Planning | MIT OpenCourseWare,This course explores photography as a disciplined way of seeing or investigating urban landscapes; and expressing ideas. Readings; observations; and photographs form the basis of discussions on light; detail; place; poetics; narrative; and how photography can inform design and planning.  The current version of the class website for the course can be found here: Sensing Place: Photography as Inquiry.,photography;landscape;light;significant detail;place;poetics;narrative;urban planning;seeing;digital photography;digital editing;storytelling;community;urban revitalization;neighborhood;Environmental Design;Photography;Urban Planning,education;learning;free;,Sensing Place: Photography as Inquiry ,MIT Open CourseWare,N/A,any time,No,Spirn; Anne Whiston ,This course explores photography as a disciplined way of seeing or investigating urban landscapes; and expressing ideas. Readings; observations; and photographs form the basis of discussions on light; detail; place; poetics; narrative; and how photography can inform design and planning.  The current version of the class website for the course can be found here: Sensing Place: Photography as Inquiry.,Graduate,?
http://ocw.mit.edu/courses/anthropology/21a-231j-gender-sexuality-and-society-spring-2006/,Gender; Sexuality; and Society | Anthropology | MIT OpenCourseWare,This course seeks to examine how people experience gender - what it means to be a man or a woman - and sexuality in a variety of historical and cultural contexts. We will explore how gender and sexuality relate to other categories of social identity and difference; such as race and ethnicity; economic and social standing; urban or rural life; etc. One goal of the class is to learn how to critically assess media and other popular representations of gender roles and stereotypes. Another is to gain a greater sense of the diversity of human social practices and beliefs in the United States and around the world.,gender;sexuality;marriage;nationalism;race;class;sex;globalization;professionalization;agency;appetite;identity;transvestite;transgender;intersexuality;motherhood;fetus;sexism;21A.231J;21A.231;SP.455J;SP.455;Gender Studies;Social Anthropology;Women s Studies;Cultural Anthropology,education;learning;free;,Gender; Sexuality; and Society ,MIT Open CourseWare,N/A,any time,No,Paxson; Heather ,This course seeks to examine how people experience gender - what it means to be a man or a woman - and sexuality in a variety of historical and cultural contexts. We will explore how gender and sexuality relate to other categories of social identity and difference; such as race and ethnicity; economic and social standing; urban or rural life; etc. One goal of the class is to learn how to critically assess media and other popular representations of gender roles and stereotypes. Another is to gain a greater sense of the diversity of human social practices and beliefs in the United States and around the world.,Undergraduate,?
http://ocw.mit.edu/courses/architecture/4-110j-design-across-scales-disciplines-and-problem-contexts-spring-2013/,Design Across Scales; Disciplines and Problem Contexts | Architecture | MIT OpenCourseWare,This course explores the reciprocal relationships among design; science; and technology by covering a wide range of topics including industrial design; architecture; visualization and perception; design computation; material ecology; and environmental design and sustainability. Students will examine how transformations in science and technology have influenced design thinking and vice versa; as well as develop methodologies for design research and collaborate on design solutions to interdisciplinary problems.,design;media;animation;image;data;visualization;representation;database;Processing;fabrication;technology;systems;model;AI;intelligence;programming;optimization;machine;play;game;utopia;future;dystopia;science fiction;environment;growth;organization;Game Design;Media Studies;Visual Arts,education;learning;free;,Design Across Scales; Disciplines and Problem Contexts ,MIT Open CourseWare,N/A,any time,No,Yoon; Meejin and Oxman; Neri ,This course explores the reciprocal relationships among design; science; and technology by covering a wide range of topics including industrial design; architecture; visualization and perception; design computation; material ecology; and environmental design and sustainability. Students will examine how transformations in science and technology have influenced design thinking and vice versa; as well as develop methodologies for design research and collaborate on design solutions to interdisciplinary problems.,Undergraduate / Graduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-19j-cognitive-behavioral-genetics-spring-2001/,Cognitive & Behavioral Genetics | Brain and Cognitive Sciences | MIT OpenCourseWare,How genetics can add to our understanding of cognition; language; emotion; personality; and behavior. Use of gene mapping to estimate risk factors for psychological disorders and variation in behavioral and personality traits. Mendelian genetics; genetic mapping techniques; and statistical analysis of large populations and their application to particular studies in behavioral genetics. Topics also include environmental influence on genetic programs; evolutionary genetics; and the larger scientific; social; ethical; and philosophical implications.,cognition;language;emotion;personality;behavior;gene mapping;personality traits;Mendelian genetics;genetic mapping techniques;statistical analysis;environmental;genetic programs;evolutionary genetics;social;ethical;9.19J;7.66J;9.19;7.66;Cognitive Science;Genetics;Neuroscience;Psychology,education;learning;free;,Cognitive & Behavioral Genetics ,MIT Open CourseWare,N/A,any time,No,Nedivi; Elly and Pinker; Steven ,How genetics can add to our understanding of cognition; language; emotion; personality; and behavior. Use of gene mapping to estimate risk factors for psychological disorders and variation in behavioral and personality traits. Mendelian genetics; genetic mapping techniques; and statistical analysis of large populations and their application to particular studies in behavioral genetics. Topics also include environmental influence on genetic programs; evolutionary genetics; and the larger scientific; social; ethical; and philosophical implications.,Undergraduate / Graduate,?
http://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-85-infant-and-early-childhood-cognition-fall-2012/,Infant and Early Childhood Cognition | Brain and Cognitive Sciences | MIT OpenCourseWare,This course is an introduction to cognitive development focusing on children s understanding of objects; agents; and causality. It develops a critical understanding of experimental design. The course discusses how developmental research might address philosophical questions about the origins of knowledge; appearance and reality; and the problem of other minds. It provides instruction and practice in written communication as needed for cognitive science research (including critical reviews of journal papers; a literature review and an original research proposal); as well as instruction and practice in oral communication in the form of a poster presentation of a journal paper.,infant cognition;early childhood cognition;cognitive development;developmental psychology;psychology;developmental research;Piaget;object knowledge;object individuation;object concept;agents;causal knowledge;theory of mind;causation;causal transformations;Cognitive Science;Psychology,education;learning;free;,Infant and Early Childhood Cognition ,MIT Open CourseWare,N/A,any time,No,Schulz; Laura ,This course is an introduction to cognitive development focusing on children s understanding of objects; agents; and causality. It develops a critical understanding of experimental design. The course discusses how developmental research might address philosophical questions about the origins of knowledge; appearance and reality; and the problem of other minds. It provides instruction and practice in written communication as needed for cognitive science research (including critical reviews of journal papers; a literature review and an original research proposal); as well as instruction and practice in oral communication in the form of a poster presentation of a journal paper.,Undergraduate,?
http://ocw.mit.edu/courses/entrepreneurship/acknowledgements/,Acknowledgements | MIT OpenCourseWare | Free Online Course Materials,N/A,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?
http://ocw.mit.edu/courses/special-programs/sp-401-introduction-to-womens-and-gender-studies-fall-2010/,Introduction to Women s and Gender Studies | Special Programs | MIT OpenCourseWare,This course offers an introduction to Women s and Gender Studies; an interdisciplinary academic field that asks critical questions about the meaning of gender in society. The primary goal of this course is to familiarize students with key issues; questions and debates in Women s and Gender Studies scholarship; both historical and contemporary. Gender scholarship critically analyzes themes of gendered performance and power in a range of social spheres; such as law; culture; work; medicine and the family.,women s studies;gender studies;division of labor;race;ethnicity;power;authority;gender equality;feminism;sexuality;social construction;Gender Studies;Women s Studies,education;learning;free;,Introduction to Women s and Gender Studies ,MIT Open CourseWare,N/A,any time,No,Walsh; Andrea and Fox; Elizabeth ,This course offers an introduction to Women s and Gender Studies; an interdisciplinary academic field that asks critical questions about the meaning of gender in society. The primary goal of this course is to familiarize students with key issues; questions and debates in Women s and Gender Studies scholarship; both historical and contemporary. Gender scholarship critically analyzes themes of gendered performance and power in a range of social spheres; such as law; culture; work; medicine and the family.,Undergraduate,?
http://ocw.mit.edu/courses/health-sciences-and-technology/,Harvard-MIT Division of Health Sciences and Technology | MIT OpenCourseWare | Free Online Course Materials,MIT Health Sciences and Technology courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Health Sciences and Technology courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/comparative-media-studies/cms-405-media-and-methods-seeing-and-expression-spring-2013/,Media and Methods: Seeing and Expression | Comparative Media Studies | MIT OpenCourseWare,In this course students create digital visual images and analyze designs from historical and theoretical perspectives with an emphasis on art and design; examining visual experience in broad terms; and from the perspectives of both creators and viewers. The course addresses key topics such as: image making as a cognitive and perceptual practice; the production of visual significance and meaning; and the role of technology in creating and understanding digitally produced images. Students will be given design problems growing out of their reading and present solutions using technologies such as the Adobe Creative Suite and/or similar applications.,media;design;visual design;visual literacy;comics;semiotics;sequential art;signs;shapes;patterns;augury;cognition;creativity;psychology;image;imago;mimesis;representation;icon;iconology;iconoclasm;iconogasm;gestalt;ideology;text;shahrazad;myth;mythos;mythology;typography;type;information design;color;space;visual culture;digital media;Digital Media;Graphic Design,education;learning;free;,Media and Methods: Seeing and Expression ,MIT Open CourseWare,N/A,any time,No,Harrell; Fox ,In this course students create digital visual images and analyze designs from historical and theoretical perspectives with an emphasis on art and design; examining visual experience in broad terms; and from the perspectives of both creators and viewers. The course addresses key topics such as: image making as a cognitive and perceptual practice; the production of visual significance and meaning; and the role of technology in creating and understanding digitally produced images. Students will be given design problems growing out of their reading and present solutions using technologies such as the Adobe Creative Suite and/or similar applications.,Undergraduate,?
http://ocw.mit.edu/courses/biology/7-18-topics-in-experimental-biology-fall-2005/,Topics in Experimental Biology | Biology | MIT OpenCourseWare,This independent experimental study course is designed to allow students with a strong interest in independent research to fulfill the project laboratory requirement for the Biology Department Program in the context of a research laboratory at MIT. The research should be a continuation of a previous project under the direction of a member of the Biology Department faculty. This course provides instruction and practice in written and oral communication. Journal club discussions are used to help students evaluate and write scientific papers.,experimental biology;journal club;primary literature;scientific research;oral presentations;communication;abstracts;materials and methods;discussion;IMRAD;research report;laboratory research;results section;Biology;Communication,education;learning;free;,Topics in Experimental Biology ,MIT Open CourseWare,N/A,any time,No,Pepper; Karen and Roldan; Leslie Ann and Matsudaira; Paul T. and Sinskey; Anthony ,This independent experimental study course is designed to allow students with a strong interest in independent research to fulfill the project laboratory requirement for the Biology Department Program in the context of a research laboratory at MIT. The research should be a continuation of a previous project under the direction of a member of the Biology Department faculty. This course provides instruction and practice in written and oral communication. Journal club discussions are used to help students evaluate and write scientific papers.,Undergraduate,?
http://ocw.mit.edu/courses/anthropology/21a-550j-dv-lab-documenting-science-through-video-and-new-media-fall-2012/,DV Lab: Documenting Science Through Video and New Media | Anthropology | MIT OpenCourseWare,This course is an introductory exploration of documentary film theory and production; focusing on documentaries about science; engineering; and related fields. Students engage in digital video production as well as social and media analysis of science documentaries. Readings are drawn from social studies of science as well as from documentary film theory. The courses uses documentary video making as a tool to explore the worlds of science and engineering; as well as a tool for thinking analytically about media itself and the social worlds in which science is embedded. The course includes a hands-on lab component devoted to digital video production; in addition to classroom lectures and in-class film screenings.,documentary film;documentary video;film history;video production;video editing;ethnography;interview;science documentary;Film and Video;Media Studies;Engineering;Science;Anthropology,education;learning;free;,DV Lab: Documenting Science Through Video and New Media ,MIT Open CourseWare,N/A,any time,No,Walley; Christine and Boebel; Chris ,This course is an introductory exploration of documentary film theory and production; focusing on documentaries about science; engineering; and related fields. Students engage in digital video production as well as social and media analysis of science documentaries. Readings are drawn from social studies of science as well as from documentary film theory. The courses uses documentary video making as a tool to explore the worlds of science and engineering; as well as a tool for thinking analytically about media itself and the social worlds in which science is embedded. The course includes a hands-on lab component devoted to digital video production; in addition to classroom lectures and in-class film screenings.,Undergraduate,?
http://ocw.mit.edu/courses/nuclear-engineering/22-091-nuclear-reactor-safety-spring-2008/,Nuclear Reactor Safety | Nuclear Science and Engineering | MIT OpenCourseWare,Problems in nuclear engineering often involve applying knowledge from many disciplines simultaneously in achieving satisfactory solutions. The course will focus on understanding the complete nuclear reactor system including the balance of plant; support systems and resulting interdependencies affecting the overall safety of the plant and regulatory oversight. Both the Seabrook and Pilgrim nuclear plant simulators will be used as part of the educational experience to provide as realistic as possible understanding of nuclear power systems short of being at the reactor.,nuclear;reactor;safety;dryout heat flux;preexisting hydrogen;blowdown gases;downward propagation limit;debris dispersal;direct containment heating;gas blowthrough;seal table room;subcompartment structures;compartmentalized geometries;overlying liquid layer;preexisting atmosphere;blowdown time;melt generator;detonation adiabatic;thermohydraulic codes;hydrodynamic fragmentation;vent clearing;combustion completeness;containment pressurization;melt retention;containment loads;melt ejection;containment geometry;hole ablation;Sandia National Laboratories;Heat Transfer Conf;Nuclear Regulatory Commission Report;Heat Mass Transfer;The Combustion Institute;Combustion Symposium International;New York;Santa Barbara;Argonne National Laboratory;Fluid Mech;Zion Probabilistic Safety Study;Los Angeles;Impact of Hydrogen;Topical Meeting;Water Reactor Safety;Water Trans;Academic Press All;American Society of Mechanical Engineers;Specialists Meeting;University of California;Brookhaven National Laboratory;Calvert Cliffs;Fourth Int;International Conference;New Trends.;Nuclear Engineering;Nuclear Physics;Nuclear Systems; Policy; and Economics,education;learning;free;,Nuclear Reactor Safety ,MIT Open CourseWare,N/A,any time,No,Kadak; Andrew ,Problems in nuclear engineering often involve applying knowledge from many disciplines simultaneously in achieving satisfactory solutions. The course will focus on understanding the complete nuclear reactor system including the balance of plant; support systems and resulting interdependencies affecting the overall safety of the plant and regulatory oversight. Both the Seabrook and Pilgrim nuclear plant simulators will be used as part of the educational experience to provide as realistic as possible understanding of nuclear power systems short of being at the reactor.,Undergraduate / Graduate,?
http://ocw.mit.edu/courses/architecture/4-241j-theory-of-city-form-spring-2013/,Theory of City Form | Architecture | MIT OpenCourseWare,This course covers theories about the form that settlements should take and attempts a distinction between descriptive and normative theory by examining examples of various theories of city form over time. Case studies will highlight the origins of the modern city and theories about its emerging form; including the transformation of the nineteenth-century city and its organization. Through examples and historical context; current issues of city form in relation to city-making; social structure; and physical design will also be discussed and analyzed.,cities;urbanism;architecture;modernism;typology;form;space;grid;industrialization;urban history;Kevin Lynch;political urbanism;London;Paris;Jerusalem;Johannesburg;New York;St. Petersburg;Barcelona;Vienna;Chicago;Berlin;Chandigarh;urban development;utopianism;suburb;suburban development;Architectural Design;Urban Studies;Community Development,education;learning;free;,Theory of City Form ,MIT Open CourseWare,N/A,any time,No,Beinart; Julian ,This course covers theories about the form that settlements should take and attempts a distinction between descriptive and normative theory by examining examples of various theories of city form over time. Case studies will highlight the origins of the modern city and theories about its emerging form; including the transformation of the nineteenth-century city and its organization. Through examples and historical context; current issues of city form in relation to city-making; social structure; and physical design will also be discussed and analyzed.,Graduate,?
http://ocw.mit.edu/courses/materials-science-and-engineering/,Materials Science and Engineering | MIT OpenCourseWare | Free Online Course Materials,MIT Materials Science and Engineering courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Materials Science and Engineering courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/biology/7-349-biological-computing-at-the-crossroads-of-engineering-and-science-spring-2005/,Biological Computing: At the Crossroads of Engineering and Science | Biology | MIT OpenCourseWare,Imagine you are a salesman needing to visit 100 cities connected by a set of roads. Can you do it while stopping in each city only once? Even a supercomputer working at 1 trillion operations per second would take longer than the age of the universe to find a solution when considering each possibility in turn. In 1994; Leonard Adleman published a paper in which he described a solution; using the tools of molecular biology; for a smaller 7-city example of this problem. His paper generated enormous scientific and public interest; and kick-started the field of Biological Computing; the main subject of this discussion based seminar course. Students will analyze the Adleman paper; and the papers that preceded and followed it; with an eye for identifying the engineering and scientific aspects of each paper; emphasizing the interplay of these two approaches in the field of Biological Computing. This course is appropriate for both biology and non-biology majors. Care will be taken to fill in any knowledge gaps for both scientists and engineers.This course is one of many&nbsp;Advanced  Undergraduate Seminars offered by the Biology Department at MIT.  These seminars are tailored for students with an interest in using  primary research literature to discuss and learn about current  biological research in a highly interactive setting.,biological computing;Leonard Adleman;exquisite detection;whole-cell computing;computation;molecular biology;biotin-avidin;magnetic beads;cellular processes;combinatorial problems;self-assembly;nanodevices;molecular machines;quorum sensing;molecular switches;ciliates;molecular gates;molecular circuits;genetic switch;cellular networks;genetic networks;genetic circuits;Biotechnology;Computer Science;Computational Biology;Computation and Systems Biology;Theory of Computation,education;learning;free;,Biological Computing: At the Crossroads of Engineering and Science ,MIT Open CourseWare,N/A,any time,No,Khodor; Julia ,Imagine you are a salesman needing to visit 100 cities connected by a set of roads. Can you do it while stopping in each city only once? Even a supercomputer working at 1 trillion operations per second would take longer than the age of the universe to find a solution when considering each possibility in turn. In 1994; Leonard Adleman published a paper in which he described a solution; using the tools of molecular biology; for a smaller 7-city example of this problem. His paper generated enormous scientific and public interest; and kick-started the field of Biological Computing; the main subject of this discussion based seminar course. Students will analyze the Adleman paper; and the papers that preceded and followed it; with an eye for identifying the engineering and scientific aspects of each paper; emphasizing the interplay of these two approaches in the field of Biological Computing. This course is appropriate for both biology and non-biology majors. Care will be taken to fill in any knowledge gaps for both scientists and engineers.This course is one of many&nbsp;Advanced  Undergraduate Seminars offered by the Biology Department at MIT.  These seminars are tailored for students with an interest in using  primary research literature to discuss and learn about current  biological research in a highly interactive setting.,Undergraduate,?
http://ocw.mit.edu/courses/chemistry/5-08j-biological-chemistry-ii-spring-2004/,Biological Chemistry II | Chemistry | MIT OpenCourseWare,This course deals with a more advanced treatment of the biochemical mechanisms that underlie biological processes. Emphasis will be given&nbsp;to the experimental methods used to unravel how these processes fit into the cellular context as well as the coordinated regulation of these processes. Topics include macromolecular machines for energy and force transduction; regulation of biosynthetic and degradative pathways; and the structure and function of nucleic acids.,biochemistry;biological chemistry;Rasmol;Deep Viewer;CHIME;BLAST;PDB;macromolecular machines;protein folding;protein degradation;fatty acid synthases;polyketide synthases;non-ribosomal polypeptide synthases;metal homeostasis;biochemical mechanisms;biochemical pathways;macromolecular interactions;ribosome;mRNA;metabolic networking;5.08J;7.08J;5.08;7.08;Biochemistry;Structural Biology;Molecular Biology,education;learning;free;,Biological Chemistry II ,MIT Open CourseWare,N/A,any time,No,Stubbe; Joanne and Ting; Alice ,This course deals with a more advanced treatment of the biochemical mechanisms that underlie biological processes. Emphasis will be given&nbsp;to the experimental methods used to unravel how these processes fit into the cellular context as well as the coordinated regulation of these processes. Topics include macromolecular machines for energy and force transduction; regulation of biosynthetic and degradative pathways; and the structure and function of nucleic acids.,Undergraduate,?
http://ocw.mit.edu/courses/mechanical-engineering/,Mechanical Engineering | MIT OpenCourseWare | Free Online Course Materials,MIT Mechanical Engineering courses available online and for free.,N/A,education;learning;free;,N/A,N/A,N/A,N/A,N/A,N/A,MIT Mechanical Engineering courses available online and for free.,N/A,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-172-performance-engineering-of-software-systems-fall-2010/,Performance Engineering of Software Systems | Electrical Engineering and Computer Science | MIT OpenCourseWare,Modern computing platforms provide unprecedented amounts of raw computational power. But significant complexity comes along with this power; to the point that making useful computations exploit even a fraction of the potential of the computing platform is a substantial challenge. Indeed; obtaining good performance requires a comprehensive understanding of all layers of the underlying platform; deep insight into the computation at hand; and the ingenuity and creativity required to obtain an effective mapping of the computation onto the machine. The reward for mastering these sophisticated and challenging topics is the ability to make computations that can process large amount of data orders of magnitude more quickly and efficiently and to obtain results that are unavailable with standard practice. This class is a hands-on; project-based introduction to building scalable and high-performance software systems. Topics include performance analysis; algorithmic techniques for high performance; instruction-level optimizations; cache and memory hierarchy optimization; parallel programming; and building scalable distributed systems. The course also includes design reviews with industry mentors; as described in this MIT News article.,performance analysis;algorithmic techniques;high performance;instruction level optimization;cache optimization;memory optimization;parallel programming;scalable distributed systems;Software Design and Engineering;Algorithms and Data Structures;Theory of Computation;Data Mining;Systems Optimization,education;learning;free;,Performance Engineering of Software Systems ,MIT Open CourseWare,N/A,any time,No,Amarasinghe; Saman and Leiserson; Charles ,Modern computing platforms provide unprecedented amounts of raw computational power. But significant complexity comes along with this power; to the point that making useful computations exploit even a fraction of the potential of the computing platform is a substantial challenge. Indeed; obtaining good performance requires a comprehensive understanding of all layers of the underlying platform; deep insight into the computation at hand; and the ingenuity and creativity required to obtain an effective mapping of the computation onto the machine. The reward for mastering these sophisticated and challenging topics is the ability to make computations that can process large amount of data orders of magnitude more quickly and efficiently and to obtain results that are unavailable with standard practice. This class is a hands-on; project-based introduction to building scalable and high-performance software systems. Topics include performance analysis; algorithmic techniques for high performance; instruction-level optimizations; cache and memory hierarchy optimization; parallel programming; and building scalable distributed systems. The course also includes design reviews with industry mentors; as described in this MIT News article.,Undergraduate,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-450-principles-of-digital-communications-i-fall-2006/,Principles of Digital Communications I | Electrical Engineering and Computer Science | MIT OpenCourseWare,The course serves as an introduction to the theory and practice behind many of today s communications systems. 6.450 forms the first of a two-course sequence on digital communication. The second class; 6.451; is offered in the spring. Topics covered include: digital communications at the block diagram level; data compression; Lempel-Ziv algorithm; scalar and vector quantization; sampling and aliasing; the Nyquist criterion; PAM and QAM modulation; signal constellations; finite-energy waveform spaces; detection; and modeling and system design for wireless communication.,digital communication;data compression;Lempel-Ziv algorithm;scalar quantization;vector quantization;sampling;aliasing;Nyquist criterion;PAM modulation;QAM modulation;signal constellations;finite-energy waveform spaces;detection;communication system design;Digital Systems;Telecommunications,education;learning;free;,Principles of Digital Communications I ,MIT Open CourseWare,N/A,any time,No,Zheng; Lizhong and Gallager; Robert ,The course serves as an introduction to the theory and practice behind many of today s communications systems. 6.450 forms the first of a two-course sequence on digital communication. The second class; 6.451; is offered in the spring. Topics covered include: digital communications at the block diagram level; data compression; Lempel-Ziv algorithm; scalar and vector quantization; sampling and aliasing; the Nyquist criterion; PAM and QAM modulation; signal constellations; finite-energy waveform spaces; detection; and modeling and system design for wireless communication.,Graduate,?
http://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-041sc-probabilistic-systems-analysis-and-applied-probability-fall-2013/,Probabilistic Systems Analysis and Applied Probability | Electrical Engineering and Computer Science | MIT OpenCourseWare,This course introduces students to the modeling; quantification; and analysis of uncertainty.&nbsp; The tools of probability theory; and of the related field of statistical inference; are the keys for being able to analyze and make sense of data. These tools underlie important advances in many fields; from the basic sciences to engineering and management.,probability;probability models;bayes rule;discrete random variables;continuous random variables;bernoulli process;poisson process;markov chains;central limit theorem;statistical inference;Systems Engineering;Probability and Statistics,education;learning;free;,Probabilistic Systems Analysis and Applied Probability ,MIT Open CourseWare,N/A,any time,No,Tsitsiklis; John ,This course introduces students to the modeling; quantification; and analysis of uncertainty.&nbsp; The tools of probability theory; and of the related field of statistical inference; are the keys for being able to analyze and make sense of data. These tools underlie important advances in many fields; from the basic sciences to engineering and management.,Undergraduate,?
http://ocw.mit.edu/courses/biology/7-01sc-fundamentals-of-biology-fall-2011/,Fundamentals of Biology | Biology | MIT OpenCourseWare,Fundamentals of Biology focuses on the basic principles of biochemistry; molecular biology; genetics; and recombinant DNA. These principles are necessary to understanding the basic mechanisms of life and anchor the biological knowledge that is required to understand many of the challenges in everyday life; from human health and disease to loss of biodiversity and environmental quality.,amino acids;carboxyl group;amino group;side chains;polar;hydrophobic;primary structure;secondary structure;tertiary structure;quaternary structure;x-ray crystallography;alpha helix;beta sheet;ionic bond;non-polar bond;van der Waals interactions;proton gradient;cyclic photophosphorylation;sunlight;ATP;chlorophyll;chlorophyll a;electrons;hydrogen sulfide;biosynthesis;non-cyclic photophosphorylation;photosystem II;photosystem I;cyanobacteria;chloroplast;stroma;thylakoid membrane;Genetics;Mendel;Mendel s Laws;cloning;restriction enzymes;vector;insert DNA;ligase;library;E.Coli;phosphatase;yeast;transformation;ARG1 gene;ARG1 mutant yeast;yeast wild-type;cloning by complementation;Human Beta Globin gene;protein tetramer;vectors;antibodies;human promoter;splicing;mRNA;cDNA;reverse transcriptase;plasmid;electrophoresis;restriction enzymes;vector;DNA sequencing;primer;template;capillary tube;laser detector;human genome project;recombinant DNA;clone;primer;primer walking;subcloning;computer assembly;shotgun sequencing;open reading frame;databases;polymerase chain reaction (PCR);polymerase;nucleotides;Thermus aquaticus;Taq polymerase;thermocycler;resequencing;in vitro fertilization;pre-implantation diagnostics;forensics;recombinant DNA;genetic engineering;DNA sequences;therapeutic proteins;E. coli;DNA sequencing;disease-causing mutations;cleavage of DNA;bacterial transformation;recombinant DNA revolution;biotechnology industry;Robert Swanson;toxin gene;pathogenic bacterium;biomedical research;S. Pyogenes;origin of replication;Biology,education;learning;free;,Fundamentals of Biology ,MIT Open CourseWare,N/A,any time,No,Lander; Eric and Weinberg; Robert and Jacks; Tyler and Sive; Hazel and Walker; Graham and Chisholm; Sallie and Mischke; Michelle ,Fundamentals of Biology focuses on the basic principles of biochemistry; molecular biology; genetics; and recombinant DNA. These principles are necessary to understanding the basic mechanisms of life and anchor the biological knowledge that is required to understand many of the challenges in everyday life; from human health and disease to loss of biodiversity and environmental quality.,Undergraduate,?
http://ocw.mit.edu/courses/music-and-theater-arts/21m-304-writing-in-tonal-forms-ii-spring-2009/,Writing in Tonal Forms II | Music and Theater Arts | MIT OpenCourseWare,This course builds on the composition techniques practiced in 21M.303 Writing in Tonal Forms I.  Students undertake further written and analytic exercises in tonal music; including a sonata-form movement for string quartet. Students will also have the opportunity to write short works that experiment with the expanded tonal techniques of the late 19th and early 20th centuries. Musicianship laboratory is required.,composition;composing;listening;form;structure;harmony;melody;rhythm;motif;theme;voicing;chord;scale;cadence;tonality;tonal music;atonal music;phrasing;canon;classical music;chamber music;aesthetics;musical analysis;string quartet;prokofiev;sonata form;Haydn;Mozart;Beethoven;Music Performance;Music Theory;Music History,education;learning;free;,Writing in Tonal Forms II ,MIT Open CourseWare,N/A,any time,No,Shadle; Charles ,This course builds on the composition techniques practiced in 21M.303 Writing in Tonal Forms I.  Students undertake further written and analytic exercises in tonal music; including a sonata-form movement for string quartet. Students will also have the opportunity to write short works that experiment with the expanded tonal techniques of the late 19th and early 20th centuries. Musicianship laboratory is required.,Undergraduate,?
http://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-009-theoretical-environmental-analysis-spring-2011/,Theoretical Environmental Analysis | Earth; Atmospheric; and Planetary Sciences | MIT OpenCourseWare,This course analyzes cooperative processes that shape the natural environment; now and in the geologic past. It emphasizes the development of theoretical models that relate the physical and biological worlds; the comparison of theory to observational data; and associated mathematical methods. Topics include carbon cycle dynamics; ecosystem structure; stability and complexity; mass extinctions; biosphere-geosphere coevolution; and climate change. Employs techniques such as stability analysis; scaling; null model construction; time series and network analysis.,natural environment;carbon cycle dynamics;ecosystem structure;stability and complexity;mass extinctions;biosphere-geosphere coevolution;climate change;Environmental Science;Ecology;Climate Studies;Atmospheric Science;Planetary Science,education;learning;free;,Theoretical Environmental Analysis ,MIT Open CourseWare,N/A,any time,No,Rothman; Daniel and Follett; Christopher ,This course analyzes cooperative processes that shape the natural environment; now and in the geologic past. It emphasizes the development of theoretical models that relate the physical and biological worlds; the comparison of theory to observational data; and associated mathematical methods. Topics include carbon cycle dynamics; ecosystem structure; stability and complexity; mass extinctions; biosphere-geosphere coevolution; and climate change. Employs techniques such as stability analysis; scaling; null model construction; time series and network analysis.,Undergraduate,?
